"Country.name","Country.CODE","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25"
"Afghanistan","AFG",NA,NA,NA,NA,NA,NA,96,6927764,2.275000095,NA,NA,81.32448462,0.2,0,0.4,652860,5.1,22257743,100.0717,NA,0.67981,0.62581,80.63546
"Albania","ALB",NA,NA,NA,NA,NA,NA,NA,1519519,14.08600044,14.08600044,19.73859978,76.54335524,7.9,2.8,13,28750,7.8,1393502,93.49047,85.95611,1.00642,1.00569,93.80494
"Algeria","DZA",NA,NA,NA,NA,NA,NA,NA,24299173,9.960000038,9.960000038,NA,69.86757176,0.7,0.2,1.2,2381740,3.3,11678282,115.3376,97.23353,0.93749,0.99363,111.5405
"American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA,49122,NA,9.199999809,NA,156.4236111,NA,NA,NA,200,NA,6957,NA,NA,NA,NA,NA
"Andorra","AND",NA,NA,NA,NA,NA,NA,NA,75007,NA,NA,NA,NA,11.4,5,17.9,470,NA,9442,NA,NA,NA,NA,NA
"Angola","AGO",NA,NA,NA,NA,NA,NA,28,13963065,9.088999748,9.430000305,NA,104.12363,9,3.6,14.7,1246700,5.7,9393181,105.781,75.80242,0.79943,0.77763,94.05665
"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,23097,NA,NA,NA,104.7065185,6.1,2.2,10.5,440,0.3,64931,112.293,95.1015,0.91542,0.97177,107.291
"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,37055902,7.714000225,NA,12.06869984,34.97101326,9.3,3.8,15.1,2780400,8.7,3732551,116.9758,98.7319,0.98741,1.03598,116.2217
"Armenia","ARM",9.3,81.7,64.3,0,1.2,7.2,NA,1825371,19.00799942,19.00799942,21.92140007,66.14730981,5.6,1.6,9.8,29740,6,1051948,99.06499,NA,1.03138,0.99522,100.7185
"Aruba","ABW",NA,NA,NA,NA,NA,NA,NA,43778,NA,10.60000038,NA,138.6071512,NA,NA,NA,180,NA,57891,113.7943,98.91975,0.98696,1.0146,113.0363
"Australia","AUS",NA,NA,NA,NA,NA,NA,NA,18767085,5.210999966,5.211299896,5.760000229,40.64967173,12.5,5.7,19.4,7741220,12.5,3264665,105.6194,96.98847,0.99824,NA,105.5238
"Austria","AUT",NA,NA,NA,NA,NA,NA,NA,4800510,4.820000172,4.820000172,4.132500172,99.01979624,12,5.4,19.1,83879.00391,16,3562894,99.78978,87.36683,0.98708,0.96872,99.125
"Azerbaijan","AZE",NA,NA,NA,NA,NA,NA,89,4835557,5.630000114,5.630000114,5.329999924,74.98598846,2.9,0.8,5.2,86600,3.1,4218775,93.7623,84.44645,0.98953,NA,93.23661
"Bahamas, The","BHS",NA,NA,NA,NA,NA,NA,NA,292568,14.53999996,NA,NA,78.67560243,4.2,1.4,7.1,13880,2,62374,88.92873,80.42244,0.97931,1.0099,88.00042
"Bahrain","BHR",NA,NA,NA,NA,NA,NA,NA,1099824,1.129999995,NA,NA,120.4723945,1.9,0.3,2.7,761.9999695,5.2,141036,NA,NA,NA,NA,NA
"Bangladesh","BGD",NA,NA,NA,NA,NA,NA,0,44954427,3.378999949,3.378900051,7.748700142,37.80284267,0.2,0,0.4,148460,6.4,102621003,105.9745,90.53203,1.06251,1.08595,109.2534
"Barbados","BRB",NA,NA,NA,NA,NA,NA,NA,89915,10.68999958,10.68999958,NA,95.91037677,8.1,2.9,14,430,2.1,192216,99.59562,94.95407,1.01582,1.01069,100.3967
"Belarus","BLR",NA,NA,NA,NA,NA,NA,NA,7086808,6.06099987,NA,NA,113.0675033,17.5,7.9,28.9,207600,38.2,2403775,104.3697,91.05012,0.99795,0.9774,104.2598
"Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,10639649,8.291999817,8.292499542,9.448800087,149.9976731,11.4,5,18.1,30530,21.3,255937,101.9242,97.25467,0.99766,1.08339,101.8022
"Belize","BLZ",NA,NA,NA,NA,NA,NA,NA,145844,11.6590004,NA,NA,117.7022322,7,2.4,11.7,22970,4.9,176620,112.5697,95.41596,0.96103,1.00442,110.3181
"Benin","BEN",NA,NA,NA,NA,NA,NA,99,3964237,1.039999962,1.039999962,NA,56.63994105,2.4,0.7,4.1,114760,9.6,5235022,120.152,94.92278,0.89164,NA,113.1823
"Bermuda","BMU",NA,NA,NA,NA,NA,NA,NA,65124,NA,6.489999771,3.940000057,77.26918707,NA,NA,NA,54.00000095,NA,0,99.31172,NA,NA,NA,NA
