"Country.name","var26","var27","var28","var29","var30","var31","var32","var33","var34","var35","var36","var37","var38","var39","var40","var41","var42","var43","var44","var45","var46","var47","var48","var49","var50","var51","var52","var53","var54","var55","var56","var57","var58"
"Afghanistan",118.6145,44.41709,6,39.34104,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,14249753,14935754,228.971,271.299,64.3,60.4,68,NA,NA,NA,42.73500061,NA,NA,NA,NA,-2305927358,NA,47787706704,48785945914
"Albania",93.20702,19.70208,5,47.56496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445588,1467433,55.689,106.184,11.9,10.8,12.9,NA,NA,NA,45.69300079,63.9715004,NA,NA,NA,1280162003,3.96625223,28046641296,28919418569
"Algeria",118.978,23.32803,5,47.33514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17816093,18161362,91.882,116.385,23.5,22,25,NA,NA,NA,14.37899971,68.86000061,NA,NA,NA,78107439572,5.8,4.553e+11,4.6481e+11
"American Samoa",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,9.64018,6,48.15663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",117.6542,45.58651,6,44.73841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11806969,11549277,233.617,306.825,76,68.5,83,NA,NA,NA,75.30699921,79.02999878,NA,NA,NA,39519762337,5.060170832,1.45516e+11,1.48556e+11
"Antigua and Barbuda",117.2039,15.0656,7,47.33428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45911,42117,113.97,161.646,7.7,6.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772427693,1809452002
"Argentina",117.7034,NA,6,48.79207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20941910,19846543,86.893,161.318,12.9,11.5,14.2,98.92807,98.98532,98.95497,47.83300018,73.8660965,NA,NA,NA,87276430429,5.452175706,7.556e+11,7.71384e+11
"Armenia",97.65404,NA,3,46.8115,16.8,14.60000038,18.79999924,2,1.5,2.5,20.8,19.89999962,21.70000076,99.1,1530966,1346353,83.191,189.182,16.5,14.6,18.3,NA,NA,NA,49.5870018,72.30000305,NA,NA,NA,456710570.2,3.929315858,18891551957,19286178300
"Aruba",114.5293,16.82253,6,48.90444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53202,48467,76.722,123.598,NA,NA,NA,96.71978,96.94053,96.82264,NA,68.91999817,NA,NA,NA,296089385.5,NA,3429584867,3501225595
"Australia",105.71,NA,7,48.59299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11013858,11017892,45.704,78.634,4,3.6,4.4,NA,NA,NA,58.70600128,72.36119843,NA,NA,NA,2.95952e+11,1.733367226,8.66385e+11,9.14973e+11
"Austria",100.422,11.02831,4,48.42035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4287444,4075960,48.689,100.315,3.6,3.2,3.9,NA,NA,NA,53.50699997,67.09739685,NA,NA,NA,1.01914e+11,0.014015121,3.51314e+11,3.62438e+11
"Azerbaijan",94.22297,11.04222,4,46.44202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4568408,4485924,89.375,182.472,32.8,29.6,35.7,99.69263,99.85444,99.77114,60.22299957,NA,NA,NA,NA,26322287280,-9.802650809,1.43819e+11,1.46824e+11
